SOCbp,OCV_V_15C,R0_ohm_15C,R1_ohm_15C,C1_F_15C,tau1_s_15C,R2_ohm_15C,C2_F_15C,tau2_s_15C,OCV_V_45C,R0_ohm_45C,R1_ohm_45C,C1_F_45C,tau1_s_45C,R2_ohm_45C,C2_F_45C,tau2_s_45C
0.0,3.0144,0.003061001686890532,0.001222789532801131,263.37989148704224,0.322058174460653,0.004252216268876608,4144.4911766303285,17.623272807483037,2.8826,0.001917968385365739,0.00030816453530350653,1104.8292828278122,0.34046920253233914,0.006226673061139521,3781.8940220494615,23.548617627179976
0.005,3.032607598796683,0.003061001686890532,0.001222789532801131,263.37989148704224,0.322058174460653,0.004252216268876608,4144.4911766303285,17.623272807483037,2.917971935986054,0.0019171742694367227,0.00030651506678787605,1113.3263577727885,0.34125130290942907,0.0062396784931737555,3789.1816090093844,23.643274992465383
0.01,3.055328700469058,0.0030599034833249587,0.0012186740544947808,264.2273578717893,0.3220070255260569,0.004241208833552388,4153.899739620595,17.617556269369835,2.9474769519142736,0.0019130857332382018,0.0002980227151197372,1158.5626164136472,0.34527797657982173,0.0063066374568546,3826.2262923722596,24.13062205387679
0.015,3.0780498021414333,0.003050264150454291,0.0011825510017561824,271.9189888735034,0.32155807268888964,0.004144592562699988,4238.6265635361515,17.56738013129454,2.9735500770898398,0.001908997197039681,0.0002895303634515984,1206.4525671367405,0.3493046502502144,0.0063735964205354455,3862.492616565774,24.617969115288204
0.02,3.100172322560118,0.003045063619992643,0.001157023639951403,278.77189845976454,0.3225456766720797,0.004112985221725227,4278.062633904768,17.59560839086521,2.999623202265405,0.0019049086608411599,0.00028103801178345957,1257.2367761868802,0.3533313239206072,0.00644055538421629,3898.004858125216,25.105316176699613
0.025,3.1197062718845157,0.0030402200678980446,0.0011323484071892743,285.8208742967928,0.32364881175141913,0.004086606043550458,4314.128134368574,17.630142106561678,3.0256963274409703,0.0019008201246426388,0.0002725456601153207,1311.1857933815309,0.35735799759099984,0.006507514347897135,3932.786294413802,25.592663238111022
0.03,3.139240221208913,0.0030353765158034457,0.0011076731744271457,293.1839050798628,0.32475194683075864,0.00406022686537569,4350.662267888729,17.664675822258143,3.0517694526165355,0.0018967315884441177,0.0002640533084471819,1368.6049736948462,0.3613846712613925,0.0065744733115779795,3966.859254503964,26.08001029952243
0.035,3.1587741705333108,0.003030532963708847,0.001082997941665017,300.8824572733016,0.3258550819100981,0.00403384768720092,4387.674228284028,17.69920953795461,3.0778425777921012,0.0018921712508842231,0.0002595523851151886,1402.5207145297466,0.3640275966296543,0.006551244022918599,4009.2994928750345,26.265899338788138
0.04,3.178308119857708,0.0030256894116142486,0.0010583227089028884,308.93999933950136,0.3269582169894376,0.004007468509026151,4425.173451446666,17.733743253651078,3.103915702967667,0.0018835799516995493,0.00025038123277453623,1470.5368309413147,0.36819482457144614,0.00633150343730984,4111.64696673312,26.03290690287533
0.045,3.197842069182106,0.003018837892334589,0.0010392337246473132,315.143419956651,0.32750767011964277,0.00401131924314239,4447.35862713884,17.83977524219735,3.129988828143232,0.0018748241251678682,0.00024101103078921922,1545.2702268289952,0.37242717021594673,0.006103866875148309,4224.090546181826,25.783286362466374
0.05,3.2173760185065037,0.003011354043427362,0.0010219039078043972,320.8547893547513,0.327882763079377,0.004024689689195451,4464.523767967476,17.968322776106724,3.1550872447330747,0.0018660682986361872,0.00023164082880390222,1626.0497676742134,0.37665951586044744,0.005876230312986778,4345.245925032359,25.533665822057422
0.055,3.2294021686843646,0.003003870194520135,0.0010045740909614812,326.7632113873599,0.3282578560391114,0.004038060135248513,4481.57523758679,18.0968703100161,3.167997867795563,0.001857312472104506,0.00022227062681858515,1713.6401105118932,0.380891861504948,0.005648593750825247,4476.166351661336,25.284045281648467
