t_s,phase,P_demand_kW,V_pack,I_pack,SOC_pct,E_consumed_kWh,alt_m,range_km,v_mps,C_rate,E_remaining_kWh
37,Taxi,34,790.778034238077,-45.3333333333333,99.6666651608835,0.368853715280335,0,0,0,0.324325789410642,104.483415322224
38,Taxi,34,790.753718061585,-45.3333333333333,99.6576561111776,0.378811507794814,0,0,0,0.324325789410642,104.47397087778
39,Taxi,34,790.729758866242,-45.3333333333333,99.6486470614718,0.388768996353248,0,0,0,0.324325789410642,104.464526433336
40,Taxi,34,790.706555538393,-45.3333333333333,99.639638011766,0.398726187962463,0,0,0,0.324325789410642,104.455081988891
41,Taxi,34,790.683352210544,-45.3333333333333,99.6306289620601,0.408683087381623,0,0,0,0.324325789410642,104.445637544447
42,Taxi,34,790.660148882696,-45.3333333333333,99.6216199123542,0.418639694610728,0,0,0,0.324325789410642,104.436193100002
43,Taxi,34,790.636945554847,-45.3333333333333,99.6126108626484,0.42859600964978,0,0,0,0.324325789410642,104.426748655558
44,Taxi,34,790.613879184458,-45.3333333333333,99.6036018129425,0.438552033361101,0,0,0,0.324325789410642,104.417304211113
45,Taxi,34,790.591366528351,-45.3333333333333,99.5945927632367,0.448507770093367,0,0,0,0.324325789410642,104.407859766669
46,Taxi,34,790.568853872243,-45.3333333333333,99.5855837135309,0.458463223332926,0,0,0,0.324325789410642,104.398415322224
47,Taxi,34,790.546341216135,-45.3333333333333,99.576574663825,0.468418393079779,0,0,0,0.324325789410642,104.38897087778
48,Taxi,34,790.523828560028,-45.3333333333333,99.5675656141191,0.478373279333925,0,0,0,0.324325789410642,104.379526433336
49,Taxi,34,790.501342006081,-45.3333333333333,99.5585565644133,0.488327882259712,0,0,0,0.324325789410642,104.370081988891
50,Taxi,34,790.479173657318,-45.3333333333333,99.5495475147074,0.498282204025,0,0,0,0.324325789410642,104.360637544447
51,Taxi,34,790.457005308554,-45.3333333333333,99.5405384650016,0.508236246633304,0,0,0,0.324325789410642,104.351193100002
52,Taxi,34,790.434836959791,-45.3333333333333,99.5315294152957,0.518190010084623,0,0,0,0.324325789410642,104.341748655558
53,Taxi,34,790.412668611027,-45.3333333333333,99.5225203655899,0.528143494378958,0,0,0,0.324325789410642,104.332304211113
54,Taxi,34,790.390500262263,-45.3333333333333,99.513511315884,0.538096699516308,0,0,0,0.324325789410642,104.322859766669
55,Taxi,34,790.3683319135,-45.3333333333333,99.5045022661782,0.548049625496674,0,0,0,0.324325789410642,104.313415322224
56,Taxi,34,790.346208798121,-45.3333333333333,99.4954932164723,0.558002272604858,0,0,0,0.324325789410642,104.30397087778
57,Taxi,34,790.324233450839,-45.3333333333333,99.4864841667665,0.567954642056055,0,0,0,0.324325789410642,104.294526433336
58,Taxi,34,790.302258103557,-45.3333333333333,99.4774751170606,0.577906734780657,0,0,0,0.324325789410642,104.285081988891
59,Taxi,34,790.280282756275,-45.3333333333333,99.4684660673548,0.587858550778663,0,0,0,0.324325789410642,104.275637544447
60,Taxi,34,790.258307408993,-45.3333333333333,99.4594570176489,0.597810090050074,0,0,0,0.324325789410642,104.266193100002
61,Taxi,34,790.236332061711,-45.3333333333333,99.4504479679431,0.60776135259489,0,0,0,0.324325789410642,104.256748655558
62,Taxi,34,790.214356714429,-45.3333333333333,99.4414389182372,0.61771233841311,0,0,0,0.324325789410642,104.247304211113
63,Taxi,34,790.192381367148,-45.3333333333333,99.4324298685314,0.627663047504735,0,0,0,0.324325789410642,104.237859766669
64,Taxi,34,790.170406019866,-45.3333333333333,99.4234208188255,0.637613479869764,0,0,0,0.324325789410642,104.228415322224
65,Taxi,34,790.148435481595,-45.3333333333333,99.4144117691197,0.647563635538477,0,0,0,0.324325789410642,104.21897087778
66,Taxi,34,790.12654215114,-45.3333333333333,99.4054027194138,0.657513515027276,0,0,0,0.324325789410642,104.209526433336
67,Taxi,34,790.104648820685,-45.3333333333333,99.396393669708,0.667463118822284,0,0,0,0.324325789410642,104.200081988891
68,Taxi,34,790.08275549023,-45.3333333333333,99.3873846200021,0.677412446923501,0,0,0,0.324325789410642,104.190637544447
69,Taxi,34,790.060862159775,-45.3333333333333,99.3783755702963,0.687361499330926,0,0,0,0.324325789410642,104.181193100002
70,Taxi,34,790.03896882932,-45.3333333333333,99.3693665205904,0.697310276044562,0,0,0,0.324325789410642,104.171748655558
71,Taxi,34,790.017075498865,-45.3333333333333,99.3603574708846,0.707258777064406,0,0,0,0.324325789410642,104.162304211113
