SOCbp,OCV_V_15C,R0_ohm_15C,R1_ohm_15C,C1_F_15C,tau1_s_15C,R2_ohm_15C,C2_F_15C,tau2_s_15C,OCV_V_45C,R0_ohm_45C,R1_ohm_45C,C1_F_45C,tau1_s_45C,R2_ohm_45C,C2_F_45C,tau2_s_45C
0.0,3.0144,0.00295523377237883,0.0009860449232887644,353.1295513100528,0.3482016013325168,0.004867319316824695,4237.189138605828,20.623752543375936,2.8826,0.001892487001892881,0.0002598115194176811,1164.0103375622998,0.302423294419949,0.008858151906989043,3903.0016718796874,34.57338170274247
0.005,3.022351953145768,0.00295523377237883,0.0009860449232887644,353.1295513100528,0.3482016013325168,0.004867319316824695,4237.189138605828,20.623752543375936,2.917971935986054,0.001892487001892881,0.0002598115194176811,1164.0103375622998,0.302423294419949,0.008858151906989043,3903.0016718796874,34.57338170274247
0.01,3.0393309120429204,0.00295523377237883,0.0009860449232887644,353.1295513100528,0.3482016013325168,0.004867319316824695,4237.189138605828,20.623752543375936,2.94161003185644,0.001892487001892881,0.0002598115194176811,1164.0103375622998,0.302423294419949,0.008858151906989043,3903.0016718796874,34.57338170274247
0.015,3.0563098709400727,0.00295523377237883,0.0009860449232887644,353.1295513100528,0.3482016013325168,0.004867319316824695,4237.189138605828,20.623752543375936,2.9583843462215174,0.001892487001892881,0.0002598115194176811,1164.0103375622998,0.302423294419949,0.008858151906989043,3903.0016718796874,34.57338170274247
0.02,3.0720916673298446,0.00295523377237883,0.0009860449232887644,353.1295513100528,0.3482016013325168,0.004867319316824695,4237.189138605828,20.623752543375936,2.9751586605865943,0.001892487001892881,0.0002598115194176811,1164.0103375622998,0.302423294419949,0.008858151906989043,3903.0016718796874,34.57338170274247
0.025,3.082696321531042,0.00295523377237883,0.0009860449232887644,353.1295513100528,0.3482016013325168,0.004867319316824695,4237.189138605828,20.623752543375936,2.991932974951671,0.001892487001892881,0.0002598115194176811,1164.0103375622998,0.302423294419949,0.008858151906989043,3903.0016718796874,34.57338170274247
0.03,3.0933009757322396,0.00295523377237883,0.0009860449232887644,353.1295513100528,0.3482016013325168,0.004867319316824695,4237.189138605828,20.623752543375936,3.008707289316748,0.001892487001892881,0.0002598115194176811,1164.0103375622998,0.302423294419949,0.008858151906989043,3903.0016718796874,34.57338170274247
0.035,3.103905629933437,0.00295523377237883,0.0009860449232887644,353.1295513100528,0.3482016013325168,0.004867319316824695,4237.189138605828,20.623752543375936,3.025481603681825,0.001892487001892881,0.0002598115194176811,1164.0103375622998,0.302423294419949,0.008858151906989043,3903.0016718796874,34.57338170274247
0.04,3.1145102841346346,0.00295523377237883,0.0009860449232887644,353.1295513100528,0.3482016013325168,0.004867319316824695,4237.189138605828,20.623752543375936,3.0422559180469024,0.0018844677967077138,0.0002501096675879769,1221.8527596888773,0.30559718756723736,0.008473295180945285,3984.6261445788923,33.76291350872892
0.045,3.125114938335832,0.00295523377237883,0.0009860449232887644,353.1295513100528,0.3482016013325168,0.004867319316824695,4237.189138605828,20.623752543375936,3.0590302324119794,0.0018761195368285318,0.00024000971646894343,1287.036711115461,0.30890131611994326,0.008072646501795986,4077.8682800490874,32.91918910572308
