SOCbp,OCV_V_15C,R0_ohm_15C,R1_ohm_15C,C1_F_15C,tau1_s_15C,R2_ohm_15C,C2_F_15C,tau2_s_15C,OCV_V_25C,R0_ohm_25C,R1_ohm_25C,C1_F_25C,tau1_s_25C,R2_ohm_25C,C2_F_25C,tau2_s_25C,OCV_V_45C,R0_ohm_45C,R1_ohm_45C,C1_F_45C,tau1_s_45C,R2_ohm_45C,C2_F_45C,tau2_s_45C
0,3.0144,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,2.9285,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,2.8826,0.00189248700189288,0.000259811522980365,1164.01029647484,0.302423287891955,0.00885815224169,3903.00170195837,34.5733832755224
0.005,3.02235195314577,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,2.96098852233912,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,2.91797193598605,0.00189248700189288,0.000259811522980365,1164.01029647484,0.302423287891955,0.00885815224169,3903.00170195837,34.5733832755224
0.01,3.03933091204292,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,2.98135319413196,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,2.94161003185644,0.00189248700189288,0.000259811522980365,1164.01029647484,0.302423287891955,0.00885815224169,3903.00170195837,34.5733832755224
0.015,3.05630987094007,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,2.99665189169464,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,2.95838434622152,0.00189248700189288,0.000259811522980365,1164.01029647484,0.302423287891955,0.00885815224169,3903.00170195837,34.5733832755224
0.02,3.07209166732984,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,3.01195058925733,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,2.97515866058659,0.00189248700189288,0.000259811522980365,1164.01029647484,0.302423287891955,0.00885815224169,3903.00170195837,34.5733832755224
0.025,3.08269632153104,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,3.02724928682002,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,2.99193297495167,0.00189248700189288,0.000259811522980365,1164.01029647484,0.302423287891955,0.00885815224169,3903.00170195837,34.5733832755224
0.03,3.09330097573224,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,3.04254798438271,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,3.00870728931675,0.00189248700189288,0.000259811522980365,1164.01029647484,0.302423287891955,0.00885815224169,3903.00170195837,34.5733832755224
0.035,3.10390562993344,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,3.05784668194539,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,3.02548160368183,0.00189248700189288,0.000259811522980365,1164.01029647484,0.302423287891955,0.00885815224169,3903.00170195837,34.5733832755224
0.04,3.11451028413464,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,3.07314537950808,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,3.0422559180469,0.00188446779670771,0.000250109670394772,1221.85271299432,0.305597179317969,0.00847329548123742,3984.62616830925,33.7629149063552
0.045,3.12511493833583,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,3.08844407707077,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,3.05903023241198,0.00187611953682853,0.000240009718488834,1287.0366584474,0.308901306078771,0.00807264676626738,4077.86829699593,32.9191903210085
0.05,3.13571959253703,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,3.1021147670589,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,3.07580454677706,0.00186777127694935,0.000229909766582895,1357.94767434121,0.312205432839573,0.00767199805129735,4180.84904625827,32.0754657356618
0.055,3.14632424673823,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,3.11204891486863,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,3.09257886114213,0.00185942301707017,0.000219809814676957,1435.37521317719,0.315509559600375,0.00727134933632731,4295.17819949633,31.2317411503151
0.06,3.15692890093943,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,3.12198306267836,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,3.10539579194103,0.00185107475719099,0.000209709862771019,1520.26081247923,0.318813686361177,0.00687070062135727,4422.84102301134,30.3880165649685
0.065,3.16753355514062,0.00295523377237883,0.000986044925816128,353.129557581375,0.348201608408809,0.0048673193251141,4237.18914876792,20.6237526279619,3.13191721048809,0.00221955147764945,0.000527069419139558,689.366016637592,0.363343745963727,0.00756573519495578,4358.03935978282,32.9717717653114,3.11550063725534,0.0018427264973118,0.00019960991086508,1613.73657112499,0.322117813121979,0.00647005190638724,4566.31452221514,29.5442919796218
