Step,Dir,SOC,R0,R1,tau1,R2,tau2
4,dis,0.9999942625362463,0.0029994118036592815,0.0017948827019327461,0.2911922170622977,0.0010345264219014877,6.612433810020817
10,dis,0.9426341641842967,0.0029180132164327577,0.001238331665499047,0.29159230114588713,0.0009441823408657046,7.181770015856097
16,dis,0.8852734917171984,0.0028551818128463306,0.0009039576435173232,0.30862455020782686,0.0011061732344724168,8.422899906904169
22,dis,0.827913148294611,0.0028609035770448873,0.0006636836758599236,0.3491315683141474,0.0014022858286551194,10.336785329003984
28,dis,0.7705531920762511,0.002893686307836238,0.0005080382708338876,0.3845419435575343,0.0014300529052921657,10.45940717510195
34,dis,0.7131989596196577,0.002870849554628788,0.0004391017648800468,0.39269892881304647,0.001276520007758391,10.219839004264465
36,chg,0.7074728025017023,0.002870932493787915,0.0003744106968052215,0.3850755676134876,0.0014000129502845687,10.858057157631572
40,dis,0.6611608514332992,0.0028680227795384095,0.00040904743395169164,0.39201005153640656,0.0012162934253457836,10.188905147998057
42,chg,0.6554347147290147,0.0028665109523945565,0.00035310939226046705,0.4014859320105581,0.0012589322640886773,10.377247864625753
46,dis,0.6095293109409179,0.0028808595081413163,0.00038771625555636543,0.4125663083676911,0.0012952304051593506,10.931403197621936
48,chg,0.6038031532984801,0.0028523602189546356,0.0003543799693283708,0.3933561381839593,0.0012920724077806359,10.493145553683151
52,dis,0.5578973764424802,0.002879474589376873,0.0003910791212631258,0.3972340119297732,0.0013657576274947508,11.155518276539992
54,chg,0.5521713060273238,0.0028723458569431407,0.00033329322431413066,0.3964107071680414,0.0014557478383490845,11.450534720374085
58,dis,0.5062659657338693,0.0028880283292180885,0.0003772823109476197,0.39902080508118665,0.0013673768204749178,11.442058803662276
60,chg,0.5005398603507677,0.0028594482022344767,0.0003397352550382206,0.38201456681667034,0.0016639715829883516,13.301288037311549
64,dis,0.45463512769808856,0.002853758695472085,0.00036905896588876916,0.3951286317632559,0.0012670058131862539,10.745255140555411
66,chg,0.44890902948559563,0.0028451211453129227,0.00031407567842602237,0.36767604117496105,0.0015898468064061506,13.149311032404205
70,dis,0.40300365531411886,0.002819496518478843,0.00033363850011076913,0.3907887652424157,0.0016253163705825875,13.014398604374753
72,chg,0.39727759971548005,0.0027850297150810296,0.00030875648963141217,0.3651393336563505,0.0020191247795688324,15.977089271413895
76,dis,0.35137279858561077,0.0026880840824182995,0.0003369768063044154,0.39039524515563656,0.001964724341774658,15.492994543549107
78,chg,0.34564674104476345,0.002679397866224972,0.0002993790331226863,0.36578608951063907,0.002193610261390901,17.362851620800708
82,dis,0.2997420814584537,0.0027066212174173213,0.00035453806573923247,0.372851545778936,0.002187327797067257,16.41058383567209
84,chg,0.29401593908325696,0.0026866703216469256,0.0003317532412620868,0.35551970232196844,0.002437511199518069,18.533702389290347
88,dis,0.24811071326534884,0.0027594961231754314,0.00040531219226534146,0.36207982189023624,0.0024651548962851245,16.939306728250305
90,chg,0.24238463556487888,0.0027551061634328265,0.0003706505511180512,0.3476235572304846,0.0027090052047709402,19.234571475929716
94,dis,0.19648060341838758,0.002822314305521236,0.000501077194825104,0.36427790191223225,0.002860992323246234,17.63121840880784
96,chg,0.1907544723850404,0.0028079889005518527,0.00046543819345995616,0.3359056110805089,0.002971499432770668,19.168366196922108
100,dis,0.14484993925532996,0.002890918718490946,0.0006593397904240782,0.35016869413730484,0.0032409828885231274,17.13897228705119
102,chg,0.13912386996290116,0.002889405979077598,0.0005799866667562667,0.3339625046147409,0.0031073740517423946,17.882507051516047
106,dis,0.0932192482127715,0.00295523377237883,0.0009860449232887644,0.3482016013325168,0.004867319316824695,20.623752543375936
108,chg,0.08749325803458508,0.00295523676320769,0.0007978623744866131,0.3131893076767475,0.0033825806951281842,17.240759352267
114,chg,0.04119745936241559,0.003093825068128457,0.0011187814591206945,0.306243216417864,0.0031349825036763256,14.860275052398109
120,chg,0.015372179613412196,0.0031438595032572095,0.0013736793747021927,0.29484770760791157,0.0034074823660412107,14.50353790494459
126,chg,0.00943035291948724,0.003166769601402234,0.0014595341423134975,0.2959147475887891,0.0036371132209285207,14.622793071590138
