Step,Dir,SOC,R0,R1,tau1,R2,tau2
4,dis,0.999994434704589,0.0021452690727301,0.000937612622644343,0.354224988080565,0.00102892977552942,7.6537263703021
10,dis,0.944355214985549,0.00206525697881183,0.000544368270519129,0.377905370044581,0.000791087196083828,7.55919842634967
16,dis,0.888715400065089,0.00203243508263674,0.00039350509103392,0.438032885291794,0.000872876202169125,8.86304284625037
22,dis,0.833075395716111,0.00201812848868235,0.00029512050991067,0.514626840193241,0.00110271982246197,10.9482970745906
28,dis,0.777435726018885,0.00203374927989774,0.000260553127429875,0.569614095283046,0.00139752517294469,12.4575216059748
34,dis,0.722881033663241,0.00203673312991971,0.000227465220296645,0.623870343780221,0.00106800687448237,10.6361339263109
36,chg,0.717326648214546,0.00203358104488884,0.000232517850889287,0.686814653967662,0.00122443051031557,12.7859483726452
40,dis,0.672798143336496,0.0020267048783224,0.000215772997016589,0.636870148154328,0.00096365158795441,10.5889397831953
42,chg,0.667243674683927,0.00202205777278228,0.00021858769236814,0.679848326542493,0.000998336224314267,11.0334752905633
46,dis,0.622716062703394,0.00202242534191401,0.000215481603106456,0.645537804953774,0.00102472267555603,11.7265934051983
48,chg,0.61716161049764,0.00201623955539586,0.000219341062837268,0.681535029967854,0.001004867097216,11.3710321743384
52,dis,0.572634342000375,0.00201949722387297,0.000217410183688744,0.644419778014179,0.00114993638018728,12.8220832640991
54,chg,0.567079713704796,0.0020120698206935,0.000217166883957713,0.674242364886742,0.00107586611977481,11.4651074914344
58,dis,0.52255166316107,0.00202097713238082,0.000203841070942851,0.622588619759645,0.00111474379474329,11.8090589827798
60,chg,0.516997150207825,0.0020163946224973,0.000199046366588812,0.680671809818406,0.00123470933461393,12.5821030569023
64,dis,0.47246891179362,0.00198674705584628,0.000198238069829774,0.660705549203849,0.00121530689889923,12.7948452072272
66,chg,0.466914550462672,0.0019791710917087,0.000189816251044011,0.709710813038605,0.00138883446646794,13.9973435830427
70,dis,0.422387033291789,0.00192243595461617,0.000185709654889551,0.678089793448761,0.00110847649023052,11.819406023921
72,chg,0.416832543963451,0.00191773436611942,0.000172802909946508,0.677667582651344,0.00117965326387505,12.01366994033
76,dis,0.372304824621535,0.00189099536158209,0.000173332881807385,0.65641810017105,0.00175192453806986,17.630725464498
78,chg,0.366750313846367,0.00188200025955936,0.000141328096148846,0.55287661674476,0.00145958090284379,12.5914033521983
82,dis,0.322221480763334,0.00184960149495064,0.000171712668629461,0.6169292423524,0.00209849750017249,19.6382275233827
84,chg,0.316667024344517,0.0018434441720922,0.000157552563344616,0.600276852627591,0.00202684442009057,18.1230570609011
88,dis,0.272138196833856,0.00187817359725492,0.000171539220851822,0.56942177192859,0.00234776402042851,19.9716651144163
90,chg,0.266583744715535,0.0018719415320302,0.000166069518479941,0.576930902607625,0.00240033176107385,20.2676633186092
94,dis,0.222055688615353,0.00192530297098866,0.000196705986284134,0.499802043338943,0.00272299527794997,20.5333065314576
96,chg,0.216501231234687,0.00192628066226226,0.000183082833242775,0.508675004172266,0.00274220113075661,20.7415548608875
100,dis,0.171973055308845,0.00200105876537362,0.000237049258405579,0.448022363782934,0.00306495955834258,20.0082395793825
102,chg,0.166418734629909,0.00199351189501071,0.000234696321719651,0.454720499092188,0.00309111346674508,20.7766509900018
106,dis,0.12189091285511,0.00209675128203331,0.000325171061007105,0.398462861840496,0.00388166345736183,21.830048350668
108,chg,0.116336583090283,0.00209778935768127,0.000303101710014203,0.402584749634682,0.00336247578782911,19.8979767507982
112,dis,0.0718079881402904,0.00221955147764945,0.000527069419139558,0.363343745963727,0.00756573519495578,32.9717717653114
114,chg,0.0662535425720786,0.00222064052501377,0.00046035134905146,0.354283166566983,0.00376056737149164,18.4619426098621
120,chg,0.0211467122198585,0.00231930788412684,0.000743578350544247,0.328079409912042,0.0034911149841394,14.5638738886897
126,chg,0.00663304724510061,0.00235218982559031,0.000897607632584935,0.324226100803269,0.0036642585150479,14.1980854620491
