SOCbp,OCV_V_15C,R0_ohm_15C,R1_ohm_15C,C1_F_15C,tau1_s_15C,R2_ohm_15C,C2_F_15C,tau2_s_15C,OCV_V_25C,R0_ohm_25C,R1_ohm_25C,C1_F_25C,tau1_s_25C,R2_ohm_25C,C2_F_25C,tau2_s_25C,OCV_V_45C,R0_ohm_45C,R1_ohm_45C,C1_F_45C,tau1_s_45C,R2_ohm_45C,C2_F_45C,tau2_s_45C
0,3.0144,0.00316676960140223,0.00145953413397901,202.746022976634,0.29591474106289,0.00363711313801011,4020.43928104873,14.6227925296742,2.9285,0.00235218982559031,0.000897607632584935,361.21139018121,0.324226100803269,0.0036642585150479,3874.74994019724,14.1980854620491,2.8826,0.0019434497688386,0.00035651754892208,1061.70120717906,0.378515112071093,0.00359519421884362,3483.49846318551,12.5238535361952
0.005,3.0428632444476,0.00316676960140223,0.00145953413397901,202.746022976634,0.29591474106289,0.00363711313801011,4020.43928104873,14.6227925296742,2.96098852233912,0.00235218982559031,0.000897607632584935,361.21139018121,0.324226100803269,0.0036642585150479,3874.74994019724,14.1980854620491,2.91797193598605,0.00194186153698056,0.000353218612080729,1076.04554247754,0.380079313049572,0.00362120508532564,3510.75622128415,12.7131682818528
0.01,3.0713264888952,0.00316457319427109,0.0014513031781685,203.825394954873,0.295812443489457,0.00361509828001805,4041.7599734978,14.6113595284377,2.99347704467824,0.00234456170797912,0.000861875147619626,377.224023298633,0.325120010766178,0.00362409181081439,3941.10956357771,14.2829428948843,2.95334387197211,0.00193368446458352,0.000336233909722213,1154.35311645348,0.388132661545174,0.00375512302511361,3645.11692181815,13.6878624823506
0.015,3.09978973334279,0.00314529452852975,0.00137905707973243,213.852308758912,0.294914540411103,0.00342186584940291,4240.67118616947,14.5110079105002,3.02596556701736,0.00233323378304746,0.000808811609805926,403.613750170797,0.326447487015449,0.00356444335840432,4042.41465722976,14.4089580768789,2.98871580795816,0.00192550739218648,0.000319249207363697,1240.9929324881,0.396186010040776,0.00388904096490157,3770.22428284435,14.6625566828483
0.02,3.12825297779039,0.00313489346760646,0.00132800235714435,223.561162941652,0.296889751352446,0.00335865118095001,4337.29606026205,14.5674645349289,3.05845408935648,0.00232190585811579,0.000755748071992226,433.709294686883,0.32777496326472,0.00350479490599425,4147.16799377172,14.5349732588735,3.02408774394422,0.00191733031978944,0.000302264505005181,1337.36959465171,0.404239358536378,0.00402295890468954,3887.00239147804,15.6372508833461
0.025,3.15671622223799,0.00312520636341726,0.00127865189215746,233.915130733435,0.299096024516566,0.00330589283024844,4427.40668820828,14.6365320271417,3.0909426116956,0.00231087914448363,0.000719383452890469,459.168036008628,0.330317887200822,0.00351413317414315,4239.13063363037,14.8968695891669,3.05945967993027,0.0019091532473924,0.000285279802646665,1445.22221064008,0.41229270703198,0.0041568768444775,3996.25625327659,16.6119450838439
0.03,3.18517946668559,0.00311551925922806,0.00122930142717057,245.100421280875,0.301302297680687,0.00325313447954687,4520.44008995375,14.7055995193545,3.12343113403473,0.00229994206928431,0.000687988318353062,484.343282011664,0.333222520096808,0.00354400142084195,4325.32629748934,15.3289625439073,3.09483161591632,0.00190097617499535,0.00026829510028815,1566.73027228648,0.420346055527582,0.00429079478426547,4098.69037522667,17.5866392843417
0.035,3.21364271113318,0.00310583215503886,0.00117995096218368,257.22134272692,0.303508570844807,0.0032003761288453,4616.54081168828,14.7746670115673,3.15591965637385,0.00228900499408498,0.000656593183815656,511.926046870392,0.336127152992793,0.00357386966754076,4410.08121862852,15.7610554986476,3.13020355190238,0.00189185549987556,0.00025929325356828,1641.50783183871,0.425631906475274,0.00424433620603304,4231.14864034061,17.9584173673051
0.04,3.24210595558078,0.00309614505084967,0.00113060049719679,270.400415325234,0.305714844008927,0.00314761777814373,4715.86309076382,14.84373450378,3.18840817871297,0.00227806791888566,0.000625198049278249,542.279020672201,0.339031785888779,0.00360373791423956,4493.43122023483,16.193148453388,3.16557548788843,0.00188269210669138,0.000250652800614002,1718.68205072811,0.430792469380017,0.00418971175934171,4368.5345775398,18.3029006906093
0.045,3.27056920002838,0.00308244201229035,0.00109242252882511,280.856300974874,0.306813750547438,0.00315531924317239,4771.56107094257,15.0557984671174,3.22089670105209,0.00226713084368634,0.000593802914740842,575.841597096233,0.341936418784765,0.00363360616093836,4575.41094762865,16.6252414081283,3.20094742387449,0.0018735287135072,0.000242012347659724,1801.3668992531,0.435953032284761,0.00413508731265038,4509.55024743155,18.6473840139136
