Step,Dir,SOC,R0,R1,tau1,R2,tau2
4,dis,0.9999944840874393,0.001785312010865084,0.00044379267547056607,0.3686418093950306,0.0009516128703196559,9.952771730682748
10,dis,0.9448538147442149,0.0017368031655107506,0.0002491568095535037,0.41106052479892796,0.0006184573195370369,8.571604718579946
16,dis,0.8897145844134818,0.0017067073143022583,0.00020648894129024823,0.44030138053498874,0.0006591469683941694,9.482731129740936
22,dis,0.8345803238074014,0.0016882596486726782,0.00018533974211386,0.42937609856244285,0.000846324989011218,11.407647924819553
28,dis,0.7796886171744947,0.0016910688349673188,0.00019543246834083876,0.48483924187577204,0.0010259725101986988,12.239737507371334
30,chg,0.7741840979093713,0.001689086270841253,0.00017031778211806605,0.42929386895148053,0.0010574671029725282,12.395705885101137
34,dis,0.7300555795316475,0.001679628300438447,0.00018236450594715206,0.49539201947524075,0.0008349502257364241,11.950120149178137
36,chg,0.7245509905248203,0.0016791087433693092,0.00018259444302656458,0.4887561861141043,0.0009329154254352658,14.539292436802356
40,dis,0.6804235966168591,0.0016710665793435915,0.00016785973988933493,0.4428025367398494,0.0008364368923222637,12.631211770398547
42,chg,0.6749190618246943,0.001672011386826265,0.00017294562682753997,0.46755898669010665,0.0007155036545574628,11.400965076104251
46,dis,0.6307911522551026,0.001669641135574104,0.00016571452390388153,0.4532991972789956,0.0009797625089747622,15.962570424448755
48,chg,0.6252866011638691,0.0016676784634857438,0.00016388474018441064,0.4316833099920227,0.0006895465555979852,10.58263223296207
52,dis,0.581158623798377,0.0016681873121942182,0.00016380505002174165,0.46200734655663683,0.0009227609730521835,13.74741942783297
54,chg,0.575653991534835,0.0016663024688454966,0.0001695884236379063,0.47154733217619893,0.00092065227555682,14.0012494351827
58,dis,0.5315252082914659,0.0016653448819404673,0.00016327052408256825,0.46751207286258456,0.0009494054475318074,13.076134506928266
60,chg,0.5260206449188312,0.0016633576622991629,0.000163903030801791,0.4678549925712771,0.0010516011746136541,14.958993745775242
64,dis,0.48189243686135896,0.0016367959414316376,0.0001566612871363529,0.5002133934828927,0.0011606617906185777,15.103924040793627
66,chg,0.476387922464684,0.0016347933494673455,0.0001588331268957119,0.509164707220559,0.0011898408741397263,16.09944769026015
70,dis,0.43226001468333597,0.0016082259732779485,0.00014946969316699632,0.5040519404341557,0.0010527730547901545,14.66557705517496
72,chg,0.4267554679878939,0.001606222018752422,0.00015622311869570887,0.5283249656916079,0.0008678340943863081,13.041113119020523
76,dis,0.38262702318833997,0.0015839267594551624,0.00014065152016222584,0.5375100116127879,0.0020184325165710734,24.03907866955058
78,chg,0.3771224211595875,0.0015804729103357713,0.0001281993204007531,0.47170669563481754,0.001117982420249638,11.521974292026094
82,dis,0.33299418409624726,0.0015753871371386651,0.00013648304509478903,0.5378602213544657,0.0023256156721792654,25.73157847366695
84,chg,0.3274896676434881,0.0015733352733168272,0.00013501646365548836,0.5404260857409237,0.0019008362143532536,20.260282397175416
88,dis,0.283361080382725,0.001593933599863201,0.00013605466320477512,0.5337838558835558,0.002636192262886827,26.58075049382416
90,chg,0.2778565084863748,0.0015919599138933412,0.00014001454642742346,0.567357466287678,0.0023364744885163973,23.368609031531406
94,dis,0.23372807470777734,0.0016282449337431538,0.00014195833108177414,0.5208466066924865,0.0032661526109814365,29.586064650613082
96,chg,0.22822360782968698,0.0016261700357061092,0.0001440464543348134,0.5410532399831226,0.0027769754111739227,24.79577980109113
100,dis,0.18409592758133597,0.0016710756923278276,0.00014189841201172506,0.4495310855361279,0.0034959828339341486,26.907247259115103
102,chg,0.17859139954827097,0.0016733534986221917,0.0001480737507983768,0.5220553045116936,0.0031107746866705717,24.108486132168863
106,dis,0.13446305591475338,0.001731072240324562,0.0001449001198986617,0.3960785318521379,0.00383867981919905,25.17299999237357
108,chg,0.12895855015997615,0.001731972455765979,0.0001560250477798508,0.47874963499892725,0.003374388038677961,22.630170212783128
112,dis,0.08483022362904813,0.0018096169252482858,0.0001595530541262316,0.3352221519506233,0.004881061204356101,26.198042775121543
114,chg,0.07932567389278722,0.0018106207842688924,0.00018269447173548616,0.471380983029819,0.0037600830701788436,21.012308054995053
118,dis,0.035197079809910714,0.001892487001892881,0.0002598115194176811,0.302423294419949,0.008858151906989043,34.57338170274247
120,chg,0.03021655259094247,0.0019006220217525737,0.00026755948117391067,0.42069484274931745,0.00429659477099568,17.628853403837127
126,chg,0.004028850558662755,0.001943449768838597,0.00035651755118933196,0.37851511064472937,0.0035951942152899984,12.523853551617476
