Step,Dir,SOC,R0,R1,tau1,R2,tau2
4,dis,0.999994484087439,0.00178531201086508,0.000443792670871176,0.368641789708882,0.000951612851374909,9.95277127544488
10,dis,0.944853814744215,0.00173680316551075,0.00024915680955378,0.411060524798868,0.000618457319537945,8.57160471861096
16,dis,0.889714584413482,0.00170670731430226,0.000206488941288729,0.440301380507426,0.000659146968379618,9.48273112940077
22,dis,0.834580323807401,0.00168825964867268,0.000185339737219934,0.429376081285498,0.000846324960818339,11.4076471674486
28,dis,0.779688617174495,0.00169106883496732,0.000195432464349161,0.484839219991763,0.00102597249225217,12.2397370551837
30,chg,0.774184097909371,0.00168908627084125,0.00017031778158669,0.429293864499835,0.00105746710125262,12.3957058363522
34,dis,0.730055579531647,0.00167962830043845,0.0001823645054727,0.495392002288907,0.000834950207780141,11.9501197648595
36,chg,0.72455099052482,0.00167910874336931,0.000182594443026565,0.488756186114104,0.000932915425435266,14.5392924368024
40,dis,0.680423596616859,0.00167106657934359,0.000167859739889335,0.442802536739849,0.000836436892322264,12.6312117703985
42,chg,0.674919061824694,0.00167201138682626,0.000172945625652089,0.467558979290084,0.000715503648720712,11.4009648719677
46,dis,0.630791152255103,0.0016696411355741,0.000165714522805958,0.453299183856767,0.00097976250583769,15.962570328155
48,chg,0.625286601163869,0.00166767846348574,0.000163884740184411,0.431683309992023,0.000689546555597985,10.5826322329621
52,dis,0.581158623798377,0.00166818731219422,0.000163805050021742,0.462007346556637,0.000922760973052184,13.747419427833
54,chg,0.575653991534835,0.0016663024688455,0.000169588423637906,0.471547332176199,0.00092065227555682,14.0012494351827
58,dis,0.531525208291466,0.00166534488194047,0.000163270524082568,0.467512072862585,0.000949405447531807,13.0761345069283
60,chg,0.526020644918831,0.00166335766229916,0.000163903030014856,0.467854978489814,0.00105160116887271,14.9589935886192
64,dis,0.481892436861359,0.00163679594143164,0.000156661287137116,0.500213393471112,0.00116066179062573,15.103924040945
66,chg,0.476387922464684,0.00163479334946735,0.000158833126598741,0.509164704477357,0.00118984087202603,16.0994476396164
70,dis,0.432260014683336,0.00160822597327795,0.000149469692938983,0.504051940586245,0.00105277306039915,14.6655771587477
72,chg,0.426755467987894,0.00160622201875242,0.000156223118695709,0.528324965691608,0.000867834094386308,13.0411131190205
76,dis,0.38262702318834,0.00158392675945516,0.00014065151080058,0.537509982953879,0.00201843225316407,24.0390744171542
78,chg,0.377122421159587,0.00158047291033577,0.000128199314114202,0.471706649860299,0.0011179823967922,11.5219737350395
82,dis,0.332994184096247,0.00157538713713867,0.000136483045337701,0.537860221380317,0.00232561566643993,25.7315784102912
84,chg,0.327489667643488,0.00157333527331683,0.000135016463655488,0.540426085740924,0.00190083621435325,20.2602823971754
88,dis,0.283361080382725,0.0015939335998632,0.000136054663169038,0.533783854825188,0.00263619226429738,26.58075050879
90,chg,0.277856508486375,0.00159195991389334,0.000140014545917892,0.567357461476513,0.00233647447965496,23.3686089016775
94,dis,0.233728074707777,0.00162824493374315,0.000141958328434452,0.52084658640657,0.00326615244878279,29.5860627875865
96,chg,0.228223607829687,0.00162617003570611,0.000144046453322784,0.541053212945363,0.00277697541541572,24.795779822489
100,dis,0.184095927581336,0.00167107569232783,0.000141898409911077,0.449531058031464,0.00349598288544725,26.9072476718292
102,chg,0.178591399548271,0.00167335349862219,0.000148073750798377,0.522055304511694,0.00311077468667057,24.1084861321689
106,dis,0.134463055914753,0.00173107224032456,0.000144900120856497,0.396078545294608,0.00383867983669423,25.1730001493744
108,chg,0.128958550159976,0.00173197245576598,0.000156025044997288,0.478749596678678,0.00337438796345789,22.630169536794
112,dis,0.0848302236290481,0.00180961692524829,0.000159553049877602,0.335222127635064,0.00488106118347792,26.1980425378717
114,chg,0.0793256738927872,0.00181062078426889,0.00018269447358082,0.471380992159049,0.00376008312391025,21.0123084573624
118,dis,0.0351970798099107,0.00189248700189288,0.000259811522980365,0.302423287891955,0.00885815224169,34.5733832755224
120,chg,0.0302165525909422,0.00190062202175257,0.000267559484027726,0.420694850224079,0.00429659483963241,17.6288537952405
126,chg,0.00402885055866276,0.0019434497688386,0.00035651754892208,0.378515112071093,0.00359519421884362,12.5238535361952
