SOCbp,OCV_V_15C,R0_ohm_15C,R1_ohm_15C,C1_F_15C,tau1_s_15C,R2_ohm_15C,C2_F_15C,tau2_s_15C,OCV_V_45C,R0_ohm_45C,R1_ohm_45C,C1_F_45C,tau1_s_45C,R2_ohm_45C,C2_F_45C,tau2_s_45C
0.0,3.0144,0.003166769601402234,0.0014595341423134975,202.74602629009874,0.2959147475887891,0.0036371132209285207,4020.439338387458,14.622793071590138,2.8826,0.001943449768838597,0.00035651755118933196,1061.701196426415,0.37851511064472937,0.0035951942152899984,3483.498470918425,12.523853551617476
0.005,3.042863244447598,0.003166769601402234,0.0014595341423134975,202.74602629009874,0.2959147475887891,0.0036371132209285207,4020.439338387458,14.622793071590138,2.917971935986054,0.0019418615369805646,0.000353218614158071,1076.045531475919,0.3800793113989091,0.003621205079358468,3510.7562271619686,12.713168282188292
0.01,3.0713264888951954,0.0031645731942710875,0.0014513031857007971,203.82539818980467,0.295812449719597,0.0036150983502800807,4041.760024103278,14.611359995363738,2.9533438719721077,0.0019336844645835227,0.00033623391082179333,1154.3531043345831,0.3881326587396945,0.0037551230067201574,3645.1169190770456,13.687862405011112
0.015,3.0997897333427935,0.003145294528529752,0.0013790570802236007,213.85231131799486,0.29491454404526246,0.0034218658085752806,4240.671180865187,14.511007719213143,2.9887158079581617,0.0019255073921864807,0.00031924920748551566,1240.9929196095336,0.3961860060804799,0.0038890409340818473,3770.2242728631945,14.662556527833932
0.02,3.128252977790391,0.003134893467606456,0.0013280023566140415,223.5611635273083,0.2968897520116425,0.0033586511266257596,4337.296042113658,14.567464238354484,3.0240877439442158,0.0019173303197894385,0.000302264504149238,1337.3695815161907,0.4042393534212653,0.004022958861443537,3887.0023754221834,15.637250650656751
0.025,3.1567162222379888,0.0031252063634172587,0.0012786518910897842,233.91512909381808,0.2990960221703215,0.0033058927702762217,4427.406660417625,14.636531669747416,3.05945967993027,0.0019091532473923965,0.00028527980081296037,1445.222197951423,0.4122927007620507,0.004156876788805227,3996.256232134845,16.61194477347957
0.03,3.1851794666855864,0.0031155192592280615,0.001229301425565527,245.10041724745383,0.30130229232900047,0.0032531344139266837,4520.44005257994,14.70559910114035,3.0948316159163234,0.0019009761749953545,0.0002682950974766827,1566.7302610304612,0.4203460481028361,0.004290794716166916,4098.690349841069,17.58663889630239
0.035,3.2136427111331844,0.0031058321550388643,0.0011799509600412697,257.2213361113448,0.3035085624876794,0.0032003760575771457,4616.540764812023,14.774666532533283,3.1302035519023774,0.0018918554998755652,0.00025929325081269615,1641.5078198345407,0.4256318988393596,0.004244336138848154,4231.148614847324,17.958416974833806
0.04,3.242105955580782,0.0030961450508496667,0.0011306004945170125,270.4004059161131,0.30571483264635835,0.0031476177012276082,4715.863034490174,14.843733963926216,3.1655754878884315,0.001882692106691385,0.0002506527979610956,1718.6820377824756,0.43079246157565493,0.004189711693674394,4368.534552068431,18.302900297021736
0.045,3.2705692000283797,0.003082442012290348,0.0010924225260058617,280.8562910438578,0.30681373890676866,0.0031553191694600846,4771.56101567849,15.055797941018769,3.2009474238744855,0.0018735287135072047,0.00024201234510949504,1801.366885291366,0.43595302431195027,0.004135087248500632,4509.550221938157,18.64738361920967
0.05,3.2990324444759773,0.003067474314475894,0.00105776289232003,290.76830645065087,0.3075639248262373,0.003182060061566208,4812.257692364399,15.312893008837516,3.2343699426890926,0.0018643653203230244,0.00023337189225789448,1890.1744455188293,0.44111358704824566,0.004080462803326872,4654.3413962536815,18.991866941397603
0.055,3.3124800906305016,0.00305250661666144,0.0010231032586341983,301.3518998632581,0.30831411074570597,0.003208800953672331,4852.276068678269,15.569988076656262,3.2434168744489935,0.0018552019271388441,0.00022473143940629392,1985.8109348808916,0.446274149784541,0.004025838358153112,4803.061758410055,19.336350263585533
